talker.id,gender,p.cog_hz,b.cog_hz,t.cog_hz,d.cog_hz,k.cog_hz,g.cog_hz,p.vot_ms,b.vot_ms,t.vot_ms,d.vot_ms,k.vot_ms,g.vot_ms,p.f0_hz,b.f0_hz,t.f0_hz,d.f0_hz,k.f0_hz,g.f0_hz
1,F,2124.62459176508,1731.47819037416,3926.88156847221,2937.60556438242,2044.36363652256,2080.56789771437,50.9054054054047,7.83516483516467,58.512195121958,15.1481481481534,51.989010989006,19.0752688172051,230.047895107812,218.10721142003,226.792561227602,227.01221008945,236.107113950322,229.900961220774
2,F,1466.91479422052,853.322605213725,3804.30089282015,2290.075932614,2215.43713845326,1121.05800683237,58.8362531645578,8.93805660377391,69.7772400000031,13.8769440559395,54.8506145833323,13.4685913978479,173.506755455624,154.365711619662,178.708869755856,168.224526752429,184.846734506551,175.665384487877
3,M,2062.61580475236,1257.31409230119,3914.32875747261,2249.45785566667,2340.75911083103,1878.43277710468,53.3633580246862,12.2215094339629,59.4973962264187,12.1729127516778,53.2151818181805,17.6419892473144,134.182362964769,127.123278336971,139.024591551603,131.088995302072,138.969845970608,131.729526420717
4,M,1448.01964923646,1118.43427377783,3570.18628704464,2031.53233217182,1687.90363822729,1283.68367456621,53.3670129870123,10.7261747572851,62.2685416666611,12.0974295774712,54.1195816326499,15.4648791208775,125.804308415843,124.847048706886,137.273598397422,134.673601562622,139.788807113658,133.310737821602
5,M,1870.10676551027,1350.75760403467,4074.4820005175,2166.58201805102,2133.11578047937,1472.71133101632,48.5411764705939,10.5412844036715,54.2941176470559,12.8064516128994,51.2079207920841,13.8229166666723,114.923299517681,100.241399521643,116.715546552684,117.846817044416,126.403212418928,111.405663058539
6,M,1592.40499635695,880.792886573494,3389.95900031645,1898.32736230514,1945.52568151403,1422.36595588471,38.0205555555558,7.12304065040698,43.6586060606054,10.3787687861283,50.0739459459472,17.5486074766368,110.956392262806,103.947114338337,110.447328894965,113.07035052738,121.601452428036,108.349689476783
7,M,1518.81011616717,610.905778953148,3768.0880800379,1241.4468708377,1860.60255832978,1198.32719028296,42.9820240963907,6.91499047618695,57.1478653846296,10.2890789473702,49.7352800000044,13.6777448979626,125.771480437242,118.100827806031,126.700192865477,124.226952732968,131.020505613264,123.475983875553
8,M,1579.63157165395,880.826846613656,3079.3145679969098,1472.1952815659,1630.86128358614,1036.43549051067,31.4127875000045,8.11206306306774,42.505301886791,8.28231690140815,42.6057604166702,9.38035483871138,125.984030209584,117.550369605579,126.924341151661,123.873762515191,131.076672449398,121.343672217047
9,M,1782.99164282083,1258.61659799845,4426.19583973081,2720.76588348225,2178.30609359749,1766.1904889547,48.234027777782,8.67421698113092,59.2209183673437,13.9225793103442,49.4379893616984,16.7292417582385,123.017322208733,111.61559318368,128.913969009411,122.372152048629,134.931496024808,120.331468610003
10,M,1385.15741274774,1166.15949154189,3696.34158603204,2072.38313381951,1914.44656308648,1758.27045770453,49.3410684931494,10.2918736842087,68.7134186046516,15.9205564516119,49.1904634146414,17.3799518072256,114.079169012232,106.501298024105,113.500491344213,113.430438286795,115.290370214717,114.218126891551
11,M,1742.86287917731,1142.04963909985,3270.90169374152,2511.97388232168,2161.78778042732,1740.54665621575,42.8991649484491,8.47842400000272,58.2824927536169,12.5013410404613,49.3229369369367,16.6151351351327,112.557613333345,108.252209424954,110.688692805284,110.988871610484,115.935897407063,110.857146174871
12,M,1819.68079217365,1387.93410522982,3895.33564023745,2264.98301004913,2197.06408984057,1673.32292913735,42.1799999999978,9.83076923077,57.2380952380913,13.7575757575789,56.8333333333334,20.4067796610088,132.052145681541,104.100541086105,128.60938869344,133.883250981677,137.529129137364,122.498848515745
13,M,1691.46395328852,898.163691079065,3180.12708114182,1598.9813620570999,1788.77192002734,1169.67492922417,49.379746835441,7.95918367346683,61.89583333334,8.82857142857205,51.7578947368403,11.7419354838681,115.250658735649,113.552482259396,113.671644421115,114.4826970814,121.94640504419,120.111588421092
14,F,2123.21735516887,696.436994070954,4782.12263206581,3356.16789801394,2758.37394369059,2211.82764765137,51.7397260273937,5.83516483515826,65.6888888888764,15.0212765957433,53.3913043478242,17.6896551724121,187.896838304625,181.193080728704,200.581072071137,199.39534659773,206.476159479933,190.281624404944
15,F,1511.46971225169,1015.05215558063,3784.91713399707,2586.59613583328,2356.42531472093,1671.41647067226,33.7912087912051,5.63247863247487,42.5166666666647,13.9254658385061,39.8981481481552,14.8396226415066,183.280933075458,181.367452971225,173.033785765327,173.825088360848,196.199911268237,174.993904779077
